#### Simulations (2)
# c1 #1
0.0 0.0
2.264072541618585 0.0
2.264072541618585 1.0
2.327553065675407 1.0
2.327553065675407 32.0
10.32755306567541 32.0
10.32755306567541 5.0
13.3234752754517 5.0
13.34060834756922 1.0
13.34060834756922 1.0
13.56769072845651 1.0
13.56769072845651 3.0
16.11386533220371 3.0
16.11386533220371 31.0
17.23461523371821 31.0
17.23461523371821 4.0
100.1 4.0
# c1 #2
0.0 0.0
2.508550740008591 0.0
2.508550740008591 1.0
2.743298540344629 1.0
2.743298540344629 32.0
10.74329854034463 32.0
10.74329854034463 5.0
12.77594146387296 5.0
12.77594146387296 1.0
15.5037229268047 1.0
15.5037229268047 3.0
17.63569616430243 3.0
17.63569616430243 31.0
19.4127833856902 31.0
19.4127833856902 4.0
100.1 4.0
# c2 #1
0.0 0.0
2.018127161776647 0.0
2.018127161776647 7.0
3.208327117323227 7.0
3.208327117323227 92.0
11.20832711732323 92.0
11.20832711732323 11.0
13.2577598571715 11.0
13.2577598571715 7.0
13.34060834756922 7.0
13.34060834756922 8.0
100.1 8.0
# c2 #2
0.0 0.0
2.113574038958177 0.0
2.113574038958177 7.0
2.33185692215783 7.0
2.33185692215783 8.0
100.1 8.0
# c3 #1
0.0 0.0
2.647979648802141 0.0
2.647979648802141 13.0
8.290785658493986 13.0
8.290785658493986 152.0
16.29078565849398 152.0
16.29078565849398 17.0
18.47897947681544 17.0
18.47897947681544 13.0
19.02226857095682 13.0
19.02226857095682 15.0
20.32791418791474 15.0
20.32791418791474 151.0
21.53118046559118 151.0
21.53118046559118 16.0
100.1 16.0
# c3 #2
0.0 0.0
2.462239549145099 0.0
2.462239549145099 13.0
3.932790475016843 13.0
3.932790475016843 152.0
11.93279047501684 152.0
11.93279047501684 17.0
13.97842634637319 17.0
13.97842634637319 13.0
14.67684245026381 13.0
14.67684245026381 14.0
100.1 14.0
